Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Latitude,Longitude
262202,"December 12, 2014",Oregon,Portland,717 North Killingsworth Court,0,4,0,0,3,,45.5620252,-122.6742858
259935,"December 7, 2014",Indiana,South Bend,16000 block of Roosevelt Road,0,4,0,0,0,,41.59005399999999,-86.1812968
227011,"December 2, 2014",Missouri,Saint Louis,6000 block of Virginia Avenue,1,3,0,2,0,,38.561641,-90.2492382
226983,"December 2, 2014",Virginia,Newport News,6128 Jefferson Ave ,0,5,0,0,0,,37.0232336,-76.44616359999999
226534,"November 30, 2014",Tennessee,Chattanooga,2412 East 13th Street ,0,5,0,0,0,,35.0246967,-85.27112129999999
226388,"November 30, 2014",New York,Brooklyn,375 Remsen Avenue,0,4,0,0,0,,40.6564708,-73.9236281
226150,"November 29, 2014",New Jersey,Newark,348 S Orange Ave,1,3,0,0,0,,40.7398404,-74.1999668
225903,"November 29, 2014",Georgia,Atlanta,1600 block of Richmond Avenue,3,2,0,0,0,,33.7100097,-84.37986690000001
225830,"November 28, 2014",Tennessee,Memphis,1849 East Brooks Road ,0,4,0,0,0,,35.0604544,-90.0021517
226018,"November 27, 2014",Texas,Georgetown,Pvt Rd 934,2,3,0,0,0,,30.6777088,-97.592544
225036,"November 26, 2014",California,San Francisco,Mission and 13th streets,0,6,0,0,0,,37.7701286,-122.4199406
224362,"November 23, 2014",Virginia,Parksley,Parksley Road,0,4,0,0,0,,37.7789204,-75.6464828
224131,"November 23, 2014",Colorado,Denver,Federal Boulevard and 16th Avenue,1,4,0,0,0,,39.742746,-105.025229
223651,"November 22, 2014",Ohio,Cleveland,1443 E 92nd St,4,1,0,0,1,,41.516892,-81.6231565
223799,"November 22, 2014",South Dakota,Sisseton,Fourth Avenue,3,1,1,0,0,,45.6641114,-97.0560985
223729,"November 22, 2014",Ohio,Springfield,Clifton Avenue and Rice Street,1,3,0,0,0,,39.9095886,-83.8077328
223582,"November 21, 2014",Pennsylvania,Pittsburgh,600 block of Miller Avenue,0,6,0,0,0,,40.38793,-79.90782840000001
222792,"November 19, 2014",Illinois,Chicago,700 block of North St. Louis Avenue,1,3,0,0,0,,41.8936596,-87.71382469999999
222393,"November 18, 2014",Nevada,North Las Vegas,Englestad Street,0,4,0,0,0,,36.2103795,-115.1473473
221554,"November 16, 2014",Ohio,Akron,1891 E Market St,1,4,0,0,1,,41.061734,-81.46023799999999
224746,"November 16, 2014",Texas,El Paso,115 S. Durango,0,5,0,1,0,,31.7570483,-106.4936451
221347,"November 15, 2014",Missouri,Springfield,2555 N. Glenstone,4,0,0,0,1,,37.2436912,-93.2623309
221577,"November 15, 2014",Florida,Miami,NW 55th and 12th,1,3,0,0,0,,25.8254451,-80.2172815
217831,"November 8, 2014",California,Pomona,499 E. Arrow Highway,0,5,0,0,0,,34.0906446,-117.7421478
218054,"November 7, 2014",California,Los Angeles,East 126th Street and North Compton Avenue,0,4,0,0,0,,33.9184883,-118.2462314
217401,"November 7, 2014",California,Compton,136th Street ,0,4,0,0,0,,33.9081202,-118.2466953
216533,"November 5, 2014",California,San Francisco,1100 block of Alabama Street ,0,4,0,0,0,,37.7543015,-122.411144
212884,"October 29, 2014",Tennessee,Memphis,Yale Road and Ramill Road,0,5,0,0,0,,35.2205375,-89.927195
211348,"October 26, 2014",Kentucky,Cadiz,1410 Old Dover Road,4,0,0,0,1,,36.8289928,-87.84981189999999
210363,"October 24, 2014",Washington,Marysville,5611 108th St NE,4,1,1,0,0,,48.09572790000001,-122.1539961
209134,"October 18, 2014",New York,Queens,33-02 Queens Blvd,0,4,0,0,1,,40.7442521,-73.93112049999999
207145,"October 18, 2014",South Carolina,Graniteville,192 Breezy Hill Road,1,3,0,0,0,,33.5663314,-81.8431062
207687,"October 18, 2014",New York,Brooklyn,Lenox Road,0,4,0,0,0,,40.6548667,-73.9384563
206303,"October 16, 2014",Michigan,Detroit,Mogul Street,1,3,0,0,1,,42.4167475,-82.9621684
205726,"October 14, 2014",Georgia,Peachtree Corners,6505 Bannor Lane,2,2,1,0,0,,33.9504789,-84.251144
205298,"October 13, 2014",Georgia,Atlanta,85 Mount Zion Road,0,4,0,0,0,,33.6732985,-84.3910362
204310,"October 12, 2014",California,Stockton,1100 block of East March Lane,3,1,0,0,0,,38.0013332,-121.2925175
204477,"October 12, 2014",Georgia,Atlanta,Arthur Langford Jr Place,1,3,0,0,0,,33.7120052,-84.3977697
204236,"October 11, 2014",New York,Utica,222 Bleecker Street,0,4,0,1,1,,43.1012669,-75.22842399999999
202981,"October 8, 2014",Georgia,Atlanta,Auburn Avenue and Edgewood Avenue,0,4,0,0,0,,33.7543949,-84.3770943
204254,"October 8, 2014",New York,Guilderland,1846 Western Ave,4,0,0,0,0,,42.6914509,-73.87114650000001
201052,"October 5, 2014",Michigan,Detroit,East 7 Mile Road and Sherwood Street,1,5,0,0,0,,42.4337774,-83.0340456
201630,"October 5, 2014",Florida,Jacksonville,7300 block of Linda Drive,3,1,0,0,0,,30.3870258,-81.6723555
201648,"October 4, 2014",Tennessee,Memphis,1400 block of Gherald Street,2,2,0,0,0,,35.16983889999999,-89.9208154
201502,"October 4, 2014",California,Pomona,1925 West Holt Avenue ,0,4,0,0,0,,34.0617813,-117.7841207
198051,"September 29, 2014",South Carolina,Walterboro,29 Sandy Dam Lane,1,6,0,1,2,,32.8852528,-80.6205114
198527,"September 29, 2014",California,Fresno,2300 block of West Fountain Way ,0,4,0,0,0,,36.7813624,-119.8381184
197416,"September 28, 2014",Pennsylvania,Philadelphia,2800 block of Hope Street,0,4,0,0,0,,39.9926757,-75.1312062
197384,"September 28, 2014",Florida,Miami,NW 7th Ave and NW 64th St,0,15,0,0,0,,25.8341414,-80.2085771
197287,"September 27, 2014",Missouri,Saint Louis,2000 block East John Avenue,0,5,0,0,0,,38.6716901,-90.2097929
198064,"September 26, 2014",South Carolina,Florence,650 Turner Rd,1,4,0,0,2,,34.2584828,-79.76875559999999
194945,"September 21, 2014",Ohio,East Liverpool,440 First St,0,4,0,0,0,,40.6308275,-80.5519767
193960,"September 20, 2014",Mississippi,Batesville,8297 Curtis Rd,2,2,0,0,0,,34.3394859,-90.0524379
193570,"September 19, 2014",New York,Queens,32-14 106th St,0,4,0,0,0,,40.7592734,-73.86330149999999
192851,"September 18, 2014",Florida,Bell,2550 NW 29th Terrace,7,0,1,0,0,,29.7751504,-82.85731059999999
191416,"September 15, 2014",Louisiana,New Orleans,Chef Menteur Highway and Dale Street,0,5,0,0,0,,30.0112084,-90.009757
190874,"September 14, 2014",Texas,Flour Bluff,229 Naval Air Station Drive,3,1,0,0,0,,27.6768256,-97.2749643
2172621,"September 14, 2014",Texas,Corpus Christi,229 NAS Dr,3,1,0,0,1,,27.6768256,-97.2749643
190599,"September 14, 2014",Alaska,Anchorage,225 E Fifth,0,6,0,0,0,,61.21778089999999,-149.880157
189562,"September 11, 2014",Michigan,Detroit,14000 block of Patton,1,7,0,0,0,,42.387666,-83.24293200000001
188332,"September 6, 2014",Florida,Orlando,2015 Orange Blossom Trail,0,4,0,0,0,,28.5205037,-81.396531
186488,"September 6, 2014",Georgia,Macon,576 Poplar Street,0,5,0,0,0,,32.8347679,-83.6299909
185393,"September 4, 2014",Michigan,Flint,2400 block of Martin Luther King Boulevard,0,5,0,0,0,,43.0384318,-83.70411519999999
185430,"September 3, 2014",California,Los Angeles,East 27th and Stanford ,0,6,0,0,0,,34.0198931,-118.2600773
185196,"September 2, 2014",Mississippi,Jackson,3622 Medgar Evers Boulevard,2,3,0,0,0,,32.3404923,-90.2140629
184507,"September 2, 2014",California,Highland,25000 block of Fifth Street ,0,5,0,0,0,,34.1083313,-117.2587948
183432,"August 31, 2014",California,Livermore,200 block of South Q Street ,0,5,0,0,0,,37.67833230000001,-121.7770593
182974,"August 29, 2014",Florida,Brooksville,820 Peach St,3,1,0,0,0,,28.5459275,-82.3909432
181947,"August 27, 2014",Michigan,Detroit,16600 block of Edmore,1,3,0,0,0,,42.4473095,-82.9484296
180007,"August 24, 2014",California,San Fernando,1400 block of Celis Street,4,5,0,0,1,,34.2860124,-118.4461113
180018,"August 24, 2014",Illinois,Chicago,8300 block of South Halsted Street,1,3,0,0,0,,41.7432357,-87.6441991
180580,"August 24, 2014",Georgia,Augusta,1013 Carrie Street,1,3,0,0,0,,33.4666043,-81.97427789999999
178425,"August 20, 2014",Tennessee,Memphis,1400 block of Briarcrest Lane,0,5,0,0,0,,35.2244137,-90.0149543
178006,"August 18, 2014",Louisiana,Saint Martinville,Main and Hyacinth streets,0,4,0,0,0,,30.1179957,-91.8335381
177770,"August 17, 2014",California,East Palo Alto,Purdue Street and Georgetown Avenue,1,3,0,0,0,,37.4806104,-122.1367349
175943,"August 17, 2014",Massachusetts,Boston,Edinboro Street,0,4,0,0,0,,42.3521618,-71.059757
175911,"August 17, 2014",New York,Queens,153-38 118th Ave,0,4,0,0,0,,40.6809472,-73.7885817
175839,"August 17, 2014",Nevada,Las Vegas,Owens Avenue and H Street,0,4,0,0,0,,36.1883488,-115.151996
175788,"August 16, 2014",Utah,Salt Lake City,122 Pierpont Avenue,0,6,0,0,0,,40.7641012,-111.8949415
175779,"August 16, 2014",New Jersey,Plainfield,West 3rd Street and Monroe Avenue,1,3,0,0,0,,40.6041807,-74.43819060000001
174560,"August 14, 2014",Tennessee,Memphis,797 Pope Street,1,3,0,0,0,,35.154022,-89.9561567
174544,"August 13, 2014",Tennessee,Clarksville,Treeland Drive,0,4,0,0,0,,36.5897551,-87.3096905
175767,"August 13, 2014",Louisiana,New Orleans,New Orleans and North Rocheblave streets,0,4,0,0,0,,29.981228,-90.06608969999999
173369,"August 12, 2014",New York,Buffalo,Oakmont Ave,1,3,0,0,0,,42.9323808,-78.8078502
173628,"August 12, 2014",Georgia,Cartersville,Brent Cir,1,3,1,0,0,,34.1742784,-84.8867947
172304,"August 10, 2014",Louisiana,New Orleans,5400 block of Burgundy St,2,5,0,0,2,,29.959368,-90.01920199999999
172205,"August 10, 2014",District of Columbia,Washington,50 block of N St SW,0,6,0,0,0,,38.8744745,-77.01085599999999
172288,"August 10, 2014",Georgia,Wrightsville,2455 Idylwild Dr,0,6,0,0,0,,32.709148,-82.728996
172180,"August 10, 2014",California,Moreno Valley,16300 block of Heather Glen Road ,0,7,0,0,0,,33.8836081,-117.2217964
171802,"August 9, 2014",Minnesota,Minneapolis,400 3rd Ave N,1,8,0,0,0,,44.978618,-93.262441
173786,"August 8, 2014",District of Columbia,Washington,2nd St NE and Todd Pl NE,0,4,0,0,0,,38.9162871,-77.0035173
171823,"August 8, 2014",New Mexico,Albuquerque,3426 Vassar NE,1,3,0,0,0,,35.119424,-106.6148145
171778,"August 8, 2014",Wisconsin,Milwaukee,3000 block of N. 28th Street ,0,4,0,0,0,,43.0735158,-87.9483015
170704,"August 6, 2014",California,Bakersfield,1700 block of Quincy Street ,3,1,0,0,0,,35.381656,-118.974197
169326,"August 4, 2014",Georgia,Atlanta,1100 block of Joseph E. Boone Boulevard NW,0,5,0,0,0,,33.7633061,-84.42353330000002
168844,"August 3, 2014",Virginia,Culpeper,14458 Rixeyville Rd,5,0,0,0,0,,38.5001862,-77.9923323
168551,"August 3, 2014",Texas,Humble,3403 FM 1960,0,7,0,0,0,,29.999849,-95.2454523
169024,"August 3, 2014",Tennessee,Columbia,East 9th Street and Bridge Street,0,5,0,0,0,,35.6095474,-87.0301221
168786,"August 3, 2014",Missouri,Saint Louis,5200 block of Thekla ,0,5,0,0,0,,38.6904408,-90.2433901
167872,"August 2, 2014",Texas,Dallas,5125 Wynell Street,3,1,0,0,1,,32.6858049,-96.78248049999999
168307,"August 2, 2014",Pennsylvania,Pittsburgh,Penn Avenue and 29th Street,1,5,0,0,0,,40.4578452,-79.9742012
168169,"August 2, 2014",Massachusetts,New Bedford,Acushnet Avenue,0,7,0,0,0,,41.6872241,-70.926316
167649,"August 1, 2014",Pennsylvania,Philadelphia,1500 block of South Etting Street,1,3,0,0,0,,39.9344269,-75.1901194
176329,"July 30, 2014",North Carolina,Hope Mills,5109 New Moon Dr,2,4,1,0,0,,35.0006861,-78.9509585
165856,"July 28, 2014",Pennsylvania,Philadelphia,4900 block of North Front Street,1,4,0,0,0,,40.0247446,-75.1238723
165089,"July 27, 2014",Missouri,Saint Louis,2000 block of East John Avenue,0,5,0,0,0,,38.6716901,-90.2097929
164513,"July 26, 2014",Maine,Saco,35 Water Street,4,0,1,0,0,,43.4980152,-70.4488365
166970,"July 26, 2014",Arkansas,Pine Bluff,Third Ave and Redbud St,1,3,0,0,0,,34.2276621,-92.0524255
163930,"July 26, 2014",Georgia,Sylvester,Royal Street,0,8,0,0,0,,31.5302983,-83.8221404
163874,"July 25, 2014",Illinois,Chicago,700 S California Ave,1,6,0,0,3,,41.8726014,-87.6963054
162687,"July 23, 2014",Pennsylvania,Braddock,700 block of Hickory St,0,4,0,0,0,,40.40576129999999,-79.86129749999999
161302,"July 21, 2014",New Jersey,Irvington,36 Welland Avenue,0,6,0,0,0,,40.7171878,-74.2288159
162008,"July 21, 2014",Tennessee,Memphis,300 block of Foote Park Lane,0,4,0,0,0,,35.14588,-90.05325
161063,"July 20, 2014",Nevada,Las Vegas,3400 block of N Rancho Dr,1,3,0,0,0,,36.2207356,-115.2146439
160998,"July 20, 2014",Illinois,East Saint Louis,5103 block of Bunkum Rd,1,3,0,0,0,,38.62345070000001,-90.0960023
160488,"July 19, 2014",Illinois,Chicago,1300 North Mason Avenue,0,4,0,0,0,,41.90395059999999,-87.7745077
159291,"July 13, 2014",District of Columbia,Washington,1700 block of Lincoln Rd NE,0,4,0,0,0,,38.9126904,-77.0086908
158387,"July 13, 2014",California,Sacramento,1972 Fulton Ave,1,4,0,0,0,,38.6007848,-121.4010829
158589,"July 13, 2014",Connecticut,Stamford,84 West Park Place,0,5,0,0,0,,41.053512,-73.54133089999999
158306,"July 13, 2014",Washington,Skyway,12600 Renton Avenue South ,0,5,0,0,0,,47.49174989999999,-122.2393167
157857,"July 12, 2014",California,Pasadena,1700 block of Summit Avenue,3,2,0,0,0,,34.1750999,-118.1473086
157580,"July 11, 2014",Illinois,Chicago,5200 West Quincy Street,1,3,0,0,0,,41.8776892,-87.75547979999999
156670,"July 9, 2014",Texas,Spring,711 Leaflet Ln,6,1,0,0,1,,30.0408635,-95.4419789
156468,"July 8, 2014",Rhode Island,Providence,35 March Street,0,5,0,0,0,,41.841643,-71.4249312
162305,"July 7, 2014",Kentucky,Stopover,KY 194E,0,4,0,0,0,,37.5159411,-82.09124
155943,"July 7, 2014",California,San Bernardino,312  E Baseline Street ,1,4,0,0,0,,34.1217089,-117.2782089
156125,"July 6, 2014",Florida,Miami,NW 20th Ave and NW 62nd St,2,2,0,0,0,,25.8315312,-80.22996189999999
155412,"July 6, 2014",Missouri,Saint Louis,4600 block of Natural Bridge Avenue,0,4,0,0,0,,38.6716118,-90.2418172
155755,"July 6, 2014",New York,Buffalo,100 block of Erb Street,0,4,0,0,0,,42.9208994,-78.8003954
154971,"July 5, 2014",Oregon,Portland,333 SE 122nd Ave,1,4,0,0,1,,45.5199377,-122.5380451
154803,"July 5, 2014",Texas,Houston,1700 Almeda-Genoa,0,6,0,0,0,,29.612053,-95.395748
154834,"July 5, 2014",Virginia,Norfolk,861 W. 36th Street,0,7,0,0,0,,36.878198,-76.29742
154721,"July 5, 2014",Indiana,Indianapolis,Broad Ripple Avenue,0,7,0,0,0,,39.8686303,-86.1313339
158055,"July 5, 2014",Illinois,Centreville,4700 Piggott Avenue,0,5,0,0,0,,38.580019,-90.123285
154844,"July 4, 2014",Virginia,Norfolk,1722 Thurgood Street,0,5,0,0,0,,36.8259328,-76.2624773
156834,"July 2, 2014",Pennsylvania,Chester,1400 block of West Congress Street,0,5,0,0,0,,39.8406125,-75.3863327
153275,"June 30, 2014",Kentucky,Lexington,Scottsdale Circle,1,3,0,0,1,,38.0759033,-84.4779882
152468,"June 29, 2014",Louisiana,New Orleans,700 block of Bourbon St,1,9,0,0,1,,29.958836,-90.06556929999999
153648,"June 29, 2014",Missouri,Saint Louis,2800 block of Dayton,0,4,0,0,0,,38.641861,-90.21602
152693,"June 29, 2014",California,Los Angeles,1100 block of North Vermont Avenue,1,5,0,0,1,,34.0912202,-118.2913512
152960,"June 28, 2014",California,Antioch,5500 Cedar Point Way,0,7,0,0,0,,37.9569993,-121.7575053
153578,"June 28, 2014",New York,Manhattan,Fifth Avenue and West 139th Street,0,4,0,0,0,,40.8153289,-73.93572859999999
152722,"June 27, 2014",California,San Diego,1600 block of Cathy Street,1,3,0,0,0,,32.5872633,-117.0946113
157018,"June 26, 2014",Michigan,Detroit,Grand St,2,2,0,0,0,,42.3936178,-83.1258276
151659,"June 26, 2014",Wisconsin,Milwaukee,24th and Locust,0,5,0,0,0,,43.071512,-87.94362799999999
151475,"June 25, 2014",Massachusetts,Lowell,Midland Street,0,5,0,0,0,,42.6235078,-71.326935
150299,"June 24, 2014",Florida,Miami,Northwest 12th Avenue and 65th Street,2,7,0,0,0,,25.8342779,-80.2167735
154136,"June 22, 2014",California,Windsor,Windsor Avenue,1,3,0,0,0,,38.5477629,-122.8189023
150344,"June 21, 2014",Tennessee,Memphis,2119 East Alcy Road,0,5,0,0,7,,35.0770106,-89.9938797
149954,"June 21, 2014",District of Columbia,Washington,Florida Ave NW and U St NW,0,4,0,0,0,,38.9170143,-77.04119349999999
157013,"June 20, 2014",Maryland,Seat Pleasant,6600 block of Greig Street,0,4,0,0,0,,38.900128,-76.90589489999999
146565,"June 15, 2014",Indiana,Kokomo,5100 Clinton Drive,0,4,0,0,0,,40.4354823,-86.1258312
146586,"June 15, 2014",Illinois,Park Forest,200 Berry Street,0,4,0,0,0,,41.5015244,-87.67872709999999
149706,"June 13, 2014",California,Los Angeles,8600 block of South Figueroa Street,3,1,0,0,0,,33.9596113,-118.282285
156245,"June 9, 2014",New Jersey,Paterson,Rosa Parks Boulevard and Godwin Avenue,0,6,0,0,0,,40.9206839,-74.1590599
144524,"June 8, 2014",Florida,Fort Myers,17372 Phlox Drive,4,0,1,0,0,,26.4846936,-81.8215137
144565,"June 8, 2014",Alabama,Opp,611 Hardin Street,1,4,0,0,1,,31.272515,-86.25282299999999
143979,"June 7, 2014",Michigan,Oak Park,10811 W. Ten Mile Rd.,1,3,0,0,0,,42.4719771,-83.17092960000001
143723,"June 7, 2014",South Carolina,Moncks Corner,Tish Lane,1,5,0,0,0,,33.1684567,-80.1324399
142822,"June 4, 2014",Illinois,Chicago,4900 West West End Avenue,1,3,0,0,0,,41.8832794,-87.7481889
142818,"June 3, 2014",Georgia,Atlanta,Auburn Avenue,1,4,0,0,1,,33.7555226,-84.3770646
142076,"June 2, 2014",Illinois,Chicago,2660 E. 79th St,0,7,0,0,0,,41.7521292,-87.5591115
141792,"June 1, 2014",California,Sacramento,6500 46th Street,0,4,0,0,0,,38.5087528,-121.4514883
141382,"June 1, 2014",Illinois,Chicago,West Ferdinand Street and North Lavergne Avenue ,1,5,0,0,0,,41.8895287,-87.7505061
153532,"May 31, 2014",California,San Bernardino,800 block of West Victoria St,1,3,0,0,0,,34.1111328,-117.3009052
139281,"May 25, 2014",Ohio,Toledo,2100 block of Joffre Avenue,1,3,0,0,0,,41.6616385,-83.58644199999999
138567,"May 24, 2014",Michigan,Detroit,Strathmoor St,0,4,0,0,0,,42.3970246,-83.1875621
138645,"May 24, 2014",South Carolina,Myrtle Beach,104 N Ocean Blvd,3,1,0,0,0,,33.6836247,-78.8873133
138282,"May 23, 2014",California,Goleta,840 Embarcadero del Norte,3,7,1,0,0,,34.4142233,-119.8550254
140185,"May 23, 2014",Louisiana,New Orleans,6200 block of Eads Street,1,7,0,0,0,,30.0227332,-90.05074979999999
138370,"May 23, 2014",California,Bellflower,9541 Flower Street,2,2,0,0,0,,33.8821979,-118.1303257
142123,"May 21, 2014",Texas,Dallas,4515 Village Fair Pl,1,3,0,0,0,,32.6894226,-96.8282507
135904,"May 18, 2014",Ohio,Sandusky,1643 Cleveland Rd,0,7,0,0,0,,41.4429927,-82.6858634
136567,"May 17, 2014",California,Coachella,84000 block of Pedro Drive,1,3,0,0,1,,33.6851543,-116.1887419
136163,"May 17, 2014",District of Columbia,Washington,2200 block of Adams Pl NE,0,5,0,0,0,,38.9192851,-76.9755267
134823,"May 13, 2014",Georgia,Atlanta,Panther Trail and Childress Drive,0,5,0,0,0,,33.6981565,-84.4861986
134591,"May 12, 2014",Illinois,Chicago,3400 West 24th Street,0,4,0,0,0,,41.8480861,-87.710017
134238,"May 11, 2014",Tennessee,Memphis,2517 Shasta,0,7,0,0,0,,35.1687664,-89.97327949999999
156823,"May 10, 2014",California,Sacramento,3031 Guadalajara Way,1,6,0,0,2,,38.6241056,-121.5248497
134044,"May 10, 2014",Georgia,Stone Mountain,1100 To Lani Farm Road,1,3,0,0,1,,33.7621554,-84.2056693
134052,"May 10, 2014",Georgia,Decatur,Shamrock Dr,2,3,0,0,1,,33.7308617,-84.2573203
132897,"May 4, 2014",Colorado,Wheat Ridge,12100 W 44th,0,4,0,0,0,,39.7775472,-105.1343598
131697,"May 4, 2014",Illinois,Chicago,500 West Erie Street,1,3,0,0,0,,41.8940302,-87.6416313
131998,"May 3, 2014",Arkansas,Jonesboro,2201 Moore Rd,3,4,1,0,0,,35.8183427,-90.6155781
132405,"May 3, 2014",Texas,Houston,Gears Rd and Trickey Rd,0,6,0,0,0,,29.94603889999999,-95.4447112
130933,"April 30, 2014",Illinois,Chicago,7200 South Phillips Avenue,0,4,0,0,0,,41.7644394,-87.5657791
130232,"April 29, 2014",Georgia,Kennesaw,1675 Airport Road,0,6,1,0,0,,34.008653,-84.6019127
129730,"April 27, 2014",New York,Troy,Fourth Street,0,5,0,0,0,,42.7213387,-73.6911982
128871,"April 25, 2014",Tennessee,Memphis,2000 Chelsea Avenue,2,3,0,0,0,,35.1734373,-89.9906671
173109,"April 22, 2014",California,Los Angeles,6419 Brynhurst Avenue,1,3,0,0,0,,33.9810939,-118.3341845
127045,"April 20, 2014",Illinois,Montgomery,1300 block of Jackson St,0,6,0,0,0,,41.7302384,-88.3104462
127413,"April 20, 2014",Illinois,Chicago,6600 South Michigan Ave,0,5,0,0,0,,41.7745475,-87.6230771
127381,"April 20, 2014",Florida,Tampa,2902 N. 32nd St.,2,2,0,0,0,,27.9692218,-82.42550570000002
156828,"April 14, 2014",District of Columbia,Washington,1909 19th St SE,0,4,0,0,0,,38.8682449,-76.9773616
125028,"April 12, 2014",Louisiana,New Orleans,2100 block of Pauger Street,1,3,0,0,0,,29.9715025,-90.06077760000001
124146,"April 11, 2014",Indiana,Richmond,North 15th and H Streets,0,4,0,0,0,,39.818169,-84.88180200000001
124131,"April 9, 2014",Illinois,Rockford,300 N Sunset Ave,0,5,0,0,0,,42.2787689,-89.1183927
123891,"April 9, 2014",Tennessee,Lookout Valley,Kellys Ferry Road and Kellys Ferry Place,3,1,0,0,0,,35.0292398,-85.408253
123008,"April 7, 2014",Louisiana,New Orleans,500 block of South Alexander Street,0,4,0,0,0,,29.973233,-90.107192
123666,"April 6, 2014",Massachusetts,Springfield,90 Worthington St.,0,4,0,0,0,,42.1031816,-72.593741
125863,"April 6, 2014",Oklahoma,Oklahoma City,Northwest 29th Street and Portland Avenue,0,4,0,0,0,,35.498761,-97.5833868
122136,"April 5, 2014",Illinois,Chicago,4300 W Wilcox Street,1,5,0,0,0,,41.8789965,-87.7331317
122612,"April 5, 2014",Arizona,Phoenix,5400 block of W Palm Ln,1,3,0,0,0,,33.4698476,-112.1756999
122672,"April 5, 2014",California,Fairfield,Orchid Street ,0,4,0,0,0,,38.2789131,-122.036979
121031,"April 2, 2014",Texas,Fort Hood,Motor Pool Road and Tank Destroyer Boulevard,3,16,1,0,0,,31.1329738,-97.794446
120621,"March 30, 2014",Mississippi,Starkville,2938 Rockhill Rd,0,5,0,0,1,,33.5062102,-88.8100243
120303,"March 30, 2014",North Carolina,Charlotte,4300 Sunset Road,0,5,0,0,0,,35.3052296,-80.8561507
117818,"March 23, 2014",Texas,Arlington,2700 Majesty Drive,1,3,0,0,0,,32.7548027,-97.0613774
172722,"March 23, 2014",California,Long Beach,601 Long Beach Boulevard,1,3,0,0,0,,33.7743922,-118.1897598
117914,"March 23, 2014",California,San Francisco,Turk and Taylor,0,7,0,0,0,,37.7834701,-122.4093692
117642,"March 21, 2014",South Carolina,North Charleston,7550 Dorchester Road,0,4,0,0,0,,32.9035946,-80.0787343
117591,"March 16, 2014",Texas,Beaumont,S 4th St,3,1,0,0,1,,30.0588443,-94.1155643
125855,"March 16, 2014",Georgia,Waynesboro,4960 Highway 80 West ,0,4,0,0,0,,33.0898731,-82.0156736
115012,"March 14, 2014",New York,Brooklyn,S. Second and Roebling Sts,0,4,0,0,0,,40.7121716,-73.9590675
113156,"March 9, 2014",Ohio,Fremont,531 W State St,3,1,0,0,0,,41.3483889,-83.1167004
113247,"March 9, 2014",Texas,Austin,4900 block of West Race Avenue,0,6,0,0,0,,30.267153,-97.7430608
113214,"March 8, 2014",Illinois,Chicago,4900 West Race Ave,0,6,0,0,0,,41.890659,-87.74844259999999
113255,"March 8, 2014",California,Richmond,1600 block of First Street,1,3,0,0,0,,37.9562803,-122.3685087
112415,"March 5, 2014",South Carolina,Pelzer,Law St,3,1,0,0,1,,34.6390534,-82.45249
111095,"March 1, 2014",Pennsylvania,Pittsburgh,Hamilton Ave,1,4,0,0,1,,40.4552835,-79.9003503
109957,"February 25, 2014",Virginia,Glade Spring,33325 Graceland Ln,3,1,1,0,0,,36.783923,-81.7858577
